LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,PMIP,TENGKU IBRAHIM BIN TENGKU BAKTI,FEMALE,,683,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,ALLIANCE - MCA,WEE SUE HANG,,,1278,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,ALLIANCE - UMNO,YUSOFF YA'ACOB,MALE,,1295,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,PMIP,JAFFAR B. H. AB. RAHMAN,MALE,,682,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,REJECTED BALLOT PAPERS,,,,20,,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,TOTAL ELECTORATE,,,,2834,,
LOCAL AUTHORITY AREA OF KOTA BHARU,ATAS BONGGOL WARD,TURNOUT (%),,,,71.9,,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,SF,GOH KIM SAN,,,210,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,ALLIANCE - MCA,PUI TIONG YEONG,,,1756,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,ALLIANCE - MCA,LIM JIT KENG,,,1684,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,REJECTED BALLOT PAPERS,,,,29,,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,TOTAL ELECTORATE,,,,2825,,
LOCAL AUTHORITY AREA OF KOTA BHARU,BANDAR WARD,TURNOUT (%),,,,70.7,,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,SF,SULAIMAN B. HASSAN,MALE,,108,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,ALLIANCE - UMNO,CHEGU MAN,MALE,,720,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,NEGARA,ISMAIL BIN MAMAT,MALE,,155,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,PMIP,WAN YUSOF YACOB,MALE,,314,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,ALLIANCE - UMNO,HAJI NIK YAHYA,MALE,,683,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,SF,ABDUL RAHMAN BIN MAHMOOD,MALE,,91,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,PMIP,WAN ZAINAB BINTI HAJI WAN MOHAMED,FEMALE,,289,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,NEGARA,SALLEH BIN AHMAD,MALE,,134,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,REJECTED BALLOT PAPERS,,,,7,,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,TOTAL ELECTORATE,,,,1983,,
LOCAL AUTHORITY AREA OF KOTA BHARU,MERBAU WARD,TURNOUT (%),,,,66.1,,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,ALLIANCE - UMNO,AYAH OMAR,MALE,,523,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,ALLIANCE - UMNO,ISHAK SAMAN,MALE,,538,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,PMIP,HJ. CHE MUDA BIN HJ. YUSOFF,MALE,,321,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,PMIP,KAMARULZAMAN,MALE,,336,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,NEGARA,NIK WEL TUKANG PETISEN,MALE,,160,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,NEGARA,HASSAN BIN HJ. YA'ACOB,MALE,,141,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,REJECTED BALLOT PAPERS,,,,18,,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,TOTAL ELECTORATE,,,,1980,,
LOCAL AUTHORITY AREA OF KOTA BHARU,PADANG GARONG WARD,TURNOUT (%),,,,54,,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,PMIP,W. OMAR B. HJ. HUSSIN,MALE,,483,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,ALLIANCE - UMNO,NIK ESHAH BINTI NIK YAHYA,FEMALE,,651,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,ALLIANCE - UMNO,CHEGU IBRAHIM BIN ISMAIL,MALE,,633,WON,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,PMIP,ABDUL RAHMAN BIN OMAR,MALE,,446,LOST,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,TOTAL ELECTORATE,,,,1720,,
LOCAL AUTHORITY AREA OF KOTA BHARU,LANGGAR WARD,TURNOUT (%),,,,67,,
LOCAL AUTHORITY AREA OF KOTA BHARU,KAMPONG PUTEH WARD,NEGARA,SYED JAAFAR BIN SYED ABDULLAH,MALE,,136,LOST,
